粮食和物资储备局
能源局
数据局
国防科技工业局
烟草专卖局
移民管理局
林业和草原局
铁路局
民用航空局
邮政局
文物局
中医药管理局
疾病预防控制局
矿山安全监察局
外汇管理局
药品监督管理局
国务院部委管理的事业单位
地震局
地质调查局
自然科学基金委员会
老龄协会
计划单列单位
新疆生产建设兵团
工程物理研究院
国务院部门所属机构
外交部派出机构
公安部内设机构
公安部政治部
国家安全部内设机构
国家安全部政治部
司法部内设机构
司法部政治部
水利部直属事业单位
水利部长江水利委员会
水利部黄河水利委员会
应急管理部内设机构
应急管理部政治部
人民银行派出机构
人民银行上海总部
知识产权局直属机构
知识产权局专利局
