住房和城乡建设厅
交通运输厅
水利厅
农业农村厅
商务厅
文化和旅游厅
卫生健康委员会
审计厅
退役军人事务厅
应急管理厅
人民政府国有资产监督管理委员会
林业局
市场监督管理局
广播电视局
体育局
统计局
机关事务管理局
人民政府研究室
地方金融监督管理局
人民防空办公室
信访局
乡村振兴局
医疗保障局
政务管理服务局
粮食和物资储备局
能源局
监狱管理局
文物局
中医药管理局
药品监督管理局
供销合作总社
地方志编纂院
地质院
